Altium Designer Pick and Place Locations
C:\Users\joaco\Documents\ALMA\Receptor_AIS\Desarrollo_HW\RECEPTOR_AIS\Project Outputs for RECEPTOR_AIS\Pick Place for Receptor_AIS_R00.csv

========================================================================================================================
File Design Information:

Date:       31/08/26
Time:       19:32
Revision:   407a95a7936f49ce2f6b7a4c433252a49a3deb49
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Description","Manufacturer Part Number"
"R2","1kO 1% 1/8W","TopLayer","56.9500mm","69.2500mm","270","100 Ohms ±0.1% 1/8W Chip Resistor 0603 (1608 Metric) Thin Film",""
"D3","Led Green 0805","TopLayer","58.0000mm","75.7500mm","0","Green 569nm LED Indication - Discrete 2.1V 0805 (2012 Metric)",""
"R32","0 ?, 1/8 W","BottomLayer","42.2350mm","51.7500mm","180","CR0805-FX-51R0ELF - 0 Ohms Jumper 0.125W, 1/8W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film",""
"R31","0 ?, 1/8 W","BottomLayer","38.0000mm","61.0000mm","270","CR0805-FX-51R0ELF - 0 Ohms Jumper 0.125W, 1/8W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film",""
"U1","TSS-13LN+","TopLayer","10.5522mm","63.0000mm","270","Description",""
"R30","100O 1% 1/8W","TopLayer","11.0000mm","45.0000mm","180","100 Ohms ±0.1% 1/8W Chip Resistor 0603 (1608 Metric) Thin Film",""
"R29","100O 1% 1/8W","TopLayer","46.5000mm","46.5000mm","180","100 Ohms ±0.1% 1/8W Chip Resistor 0603 (1608 Metric) Thin Film",""
"D2","Led Green 0805","TopLayer","17.2500mm","42.0000mm","0","Green 569nm LED Indication - Discrete 2.1V 0805 (2012 Metric)",""
"D1","Led Green 0805","TopLayer","46.2500mm","42.0000mm","180","Green 569nm LED Indication - Discrete 2.1V 0805 (2012 Metric)",""
"H4","Mounting_Hole","TopLayer","77.2500mm","2.7500mm","270","",""
"H3","Mounting_Hole","TopLayer","2.7500mm","2.7500mm","270","",""
"H2","Mounting_Hole","TopLayer","2.7500mm","77.2500mm","270","",""
"H1","Mounting_Hole","TopLayer","77.2500mm","77.2500mm","270","",""
"R28","0 ?, 1/8 W","TopLayer","68.2650mm","56.7500mm","90","CR0805-FX-51R0ELF - 0 Ohms Jumper 0.125W, 1/8W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film",""
"J8","SMA-J-P-X-ST-EM1","TopLayer","77.1050mm","57.5000mm","270","SMA Connector Jack, Female Socket 50 Ohms Board Edge, Cutout; Surface Mount Solder",""
"C49","130 pF 100V C0G","TopLayer","42.9500mm","9.0000mm","180","130 pF ±1% 100V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)",""
"U7","TPS7A2650DRVR","TopLayer","8.0000mm","41.8750mm","270","500-mA, 18-V, ultra-low-IQ, high-accuracy, adjustable low-dropout voltage regulator with power good 6-WSON -40 to 125",""
"T1","ADT2-1T+","TopLayer","24.5000mm","56.0200mm","0","Description",""
"U8","TPS62902RPJR","TopLayer","62.4500mm","27.9125mm","180","TPS62902RPJR 3-V TO 17-V, 2-A, HIGH-EFFICIENC","TPS62902RPJR"
"U6","TPS62902RPJR","TopLayer","60.6250mm","9.8025mm","180","TPS62902RPJR 3-V TO 17-V, 2-A, HIGH-EFFICIENC","TPS62902RPJR"
