Line #,Name,Quantity,Custom column 1,Designator,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1

"1","10uF 25V X5R","5","","C1, C51, C55, C56, C59","Yageo Group","C0805C106K3PACTU","DigiKey","399-11939-6-ND","0.29"
"","1nF 50V C0G","6","","C2, C30, C31, C34, C41, C42","Murata","GRM1885C1H102JA01D","DigiKey","490-1451-6-ND","0.039"
"3","0.1uF 16V X7R","14","","C3, C10, C14, C16, C19, C24, C26-C28, C32, C35, C37, C39, C44","Yageo Group","C0603C104K4RACTU","DigiKey","399-C0603C104K4RACTUCT-ND","0.066"
"","2.2uF 16V X5R","2","","C4, C5","Yageo Group","C0603C225K4PACTU","DigiKey","399-C0603C225K4PACTUCT-ND","0.16"
"","1.5pF 50V C0G","1","","C6","Yageo Group","C0603C159C5GACTU","DigiKey","399-C0603C159C5GACTUCT-ND","0.45"
"","10nF 25V C0G","1","","C7","Yageo Group","C0603C103J3GACTU","DigiKey","399-C0603C103J3GACTUCT-ND","0.45"
"7","56 pF 50V C0G","10","","C8, C17, C20, C25, C33, C36, C38, C40, C43, C45","Yageo Group","C0603C560J5GACTU","DigiKey","399-C0603C560J5GACTUDKR-ND","0.042"
"8","10 µF, 25 V, tantalum, TAJ-C","1","","C9","KYOCERA AVX","TAJC106M025RNJ","DigiKey","478-3896-1-ND","1.3"
"9","10 nF 25V X7R","1","","C11","Yageo Group","C0603C103K3RACAUTO","DigiKey","399-17569-6-ND","0.16"
"10","100nF 6.3V X5R","4","","C13, C18, C21, C23","Cal-Chip Electronics","GMC10X5R104K6R3NT","DigiKey","4713-GMC10X5R104K6R3NTCT-ND","0.24"
"","130 pF 100V C0G","4","","C15, C46, C47, C49","Murata","GCM1885C2A131FA16J","DigiKey","490-GCM1885C2A131FA16JCT-ND","0.16"
"","430 pF 100V C0G","2","","C22, C48","Murata","GCM1885C2A431JA16D","DigiKey","490-GCM1885C2A431JA16DCT-ND","0.1"
"12","1.8nF 25V C0G","1","","C29","KYOCERA AVX","KGM15BCG1E182JT","DigiKey","478-KGM15BCG1E182JTCT-ND","0.51"
"","22 µF 16V X5R 0805","2","","C50, C57","Murata","GRM219R61C226ME15K","","",""
"15","4.7 uF 50V X7S","2","","C52, C53","Murata","GRT21BC71H475KE13L","DigiKey","490-GRT21BC71H475KE13LCT-ND","0.34"
"16","3300 pF 50V C0G","2","","C54, C60","Murata","GCM1885C1H332FA16D","DigiKey","490-GCM1885C1H332FA16DDKR-ND","0.2"
"17","1uF 16V X7R","1","","C58","Yageo Group","C0603X105J4RACAUTO","DigiKey","399-17701-1-ND","0.8"
"","Led Green 0805","3","","D1-D3","Diodes Inc.","LTST-C171GKT","DigiKey","160-1423-6-ND","0.15"
"19","2A 32VDC 0603","1","","F1","KYOCERA AVX","F0603E2R00FSTR","DigiKey","478-2866-1-ND","0.44"
"20","TA0395A - 156-162Mhz Filter","1","","FB1","Tai-Saw Technology","TA0395A","DigiKey","4606-TA0395ACT-ND","28.85"
"21","SMA-J-P-X-ST-EM1","6","","J1, J2, J4-J6, J8","Samtec","SMA-J-P-H-ST-EM1","DigiKey","SAM8857-ND","2.65"
"","SPI_2X6_CONN","1","","J3","","","","",""
"","691210910004","1","","J7","Wurth Elektronik","691210910004","DigiKey","732-691210910004-ND","1.86"
"24","15uH 300 mA","1","","L1","Murata","LQH32DN150K53L","DigiKey","490-LQH32DN150K53LDKR-ND","0.22"
"25","5.1 nH - 700mA","1","","L2","Murata","LQW18AS5N1J00D","DigiKey","490-LQW18AS5N1J00DCT-ND","0.11"
"26","10 µH 0805 300mA","2","","L3, L6","Murata","LQM18DN100M70L","DigiKey","490-LQM18DN100M70LCT-ND","0.13"
"27","20 nH 0402 370mA","2","","L4, L5","Murata","LQW15AN20NH00D","DigiKey","490-6785-1-ND","0.11"
"","820 nH 0805 180mA","4","","L7-L10","Murata","LQW2BASR82J00L","DigiKey","490-5677-1-ND","0.16"
"29","2.2 µH 8A","2","","L11, L12","Vishay","IHLP2525CZER2R2M01","Mouser","70-IHLP2525CZER2R2M1","1.14"
"30","1.5kO","1","","R1","Yageo Group","RC0603FR-071K5L","DigiKey","311-1.50KHRDKR-ND","0.11"
"","1kO 1% 1/8W","1","","R2","Vishay","CRCW0603-1K00FKEA","DigiKey","541-1.00KHCT-ND","0.1"
"32","4.7 k?, 1/10 W, 1%","1","","R6","Yageo Group","RC0603FR-074K7L","DigiKey","311-4.70KHRDKR-ND","0.1"
"33","200 ?, 1/16 W, 5%","2","","R7, R8","Yageo Group","RC0603JR-07200RL","DigiKey","311-200GRCT-ND","0.1"
"34","220 ?, 1/16 W, 5%","1","","R9","Yageo Group","RC0603JR-07220RL","DigiKey","311-220GRCT-ND","0.1"
"35","330 ?, 1/16 W, 1%","1","","R10","Yageo Group","RC0603FR-07330RL","DigiKey","311-330HRCT-ND","0.1"
"36","51 ?, 1/16 W, 1%","3","","R14, R16, R18","Bourns","CR0805-FX-51R0ELF","DigiKey","118-CR0805-FX-51R0ELFCT-ND","0.027"
"37","100 ?, 1/10 W, 1%, 0603","2","","R15, R17","Yageo Group","RC0603FR-07100RL","DigiKey","311-100HRDKR-ND","0.11"
"38","50O 1/10W 0603","2","","R19, R20","Yageo Group","RT0603BRE0750RL","DigiKey","13-RT0603BRE0750RLDKR-ND","0.1"
"39","200K OHM 0.1% 1/10W 0603","1","","R21","Yageo Group","RT0603BRE07200KL","DigiKey","13-RT0603BRE07200KLDKR-ND","0.1"
"","33.2KO 0.1% 1/10W","1","","R22","Yageo Group","RT0603BRE0733K2L","DigiKey","YAG4703DKR-ND","0.1"
"41","16.9KO 1% 1/10W 0603","2","","R23, R26","Yageo Group","RT0603BRD0716K9L","DigiKey","YAG1545CT-ND","0.1"
"42","24.9KO 1% 1/10W 0603","2","","R24, R27","Yageo Group","RT0603BRD0724K9L","DigiKey","YAG1599CT-ND","0.1"
"43","140KO 0.1% 1/2W 0603","1","","R25","Vishay","RCS0603140KFKEA","DigiKey","541-RCS0603140KFKEADKR-ND","0.14"
"44","0 ?, 1/8 W","3","","R28, R31, R32","Vishay","CRCW06030000Z0EAHP","DigiKey","541-0.0SBDKR-ND","0.1"
"45","100O 1% 1/8W","2","","R29, R30","Vishay","CRCW0603-100RFKEA","DigiKey","541-100HDKR-ND","0.1"
"46","ADT2-1T+","1","","T1","Mini-Circuits","ADT2-1T+","DigiKey","3157-ADT2-1T+DKR-ND","6.95"
"47","MABAES0060","2","","T2, T3","MACOM","MABAES0060","DigiKey","1465-1317-6-ND","4.12"
"48","TSS-13LN+","1","","U1","Mini-Circuits","TSS-13LN+","DigiKey","3157-TSS-13LN+CT-ND","15.25"
"49","DSC1001DL2-013.5000","1","","U2","Microchip","DSC1001DL2-013.5000","DigiKey","150-DSC1001DL2-013.5000-ND","0.62"
"","LT3045EMSE#TRPBF","1","","U5","Analog Devices","LT3045EMSE#TRPBF","DigiKey","505-LT3045EMSE#TRPBFCT-ND","10"
"51","TPS62902RPJR","2","","U6, U8","Texas Instruments","TPS62902RPJR","DigiKey","296-TPS62902RPJRCT-ND","1.77"
"52","TPS7A2650DRVR","1","","U7","Texas Instruments","TPS7A2650DRVR","DigiKey","296-TPS7A2650DRVRCT-ND","1.16"
"53","ADRF6850BCPZ","1","","U9","Analog Devices","ADRF6850BCPZ","DigiKey","ADRF6850BCPZ-ND","33.52"
